,agent1
ep1,16.0
ep2,13.0
ep3,15.0
ep4,15.0
ep5,15.0
ep6,11.0
ep7,13.0
ep8,16.0
ep9,14.0
ep10,15.0
ep11,14.0
ep12,16.0
ep13,16.0
ep14,16.0
ep15,12.0
ep16,15.0
ep17,10.0
ep18,16.0
ep19,16.0
ep20,16.0
ep21,9.0
ep22,16.0
ep23,15.0
ep24,16.0
ep25,16.0
ep26,16.0
ep27,13.0
ep28,13.0
ep29,13.0
ep30,16.0
ep31,13.0
ep32,15.0
ep33,14.0
ep34,16.0
ep35,16.0
ep36,13.0
ep37,16.0
ep38,16.0
ep39,15.0
ep40,13.0
ep41,12.0
ep42,16.0
ep43,12.0
ep44,15.0
ep45,16.0
ep46,14.0
ep47,16.0
ep48,16.0
ep49,16.0
ep50,13.0
ep51,12.0
ep52,11.0
ep53,16.0
ep54,16.0
ep55,16.0
ep56,13.0
ep57,16.0
ep58,16.0
ep59,16.0
ep60,11.0
ep61,15.0
ep62,16.0
ep63,12.0
ep64,14.0
ep65,16.0
ep66,11.0
ep67,16.0
ep68,16.0
ep69,16.0
ep70,16.0
ep71,16.0
ep72,16.0
ep73,16.0
ep74,8.0
ep75,13.0
ep76,13.0
ep77,16.0
ep78,16.0
ep79,16.0
ep80,13.0
ep81,15.0
ep82,14.0
ep83,16.0
ep84,16.0
ep85,16.0
ep86,10.0
ep87,15.0
ep88,16.0
ep89,14.0
ep90,16.0
ep91,16.0
ep92,15.0
ep93,16.0
ep94,13.0
ep95,16.0
ep96,16.0
ep97,13.0
ep98,16.0
ep99,13.0
ep100,16.0
ep101,16.0
ep102,16.0
ep103,16.0
ep104,15.0
ep105,15.0
ep106,12.0
ep107,16.0
ep108,16.0
ep109,15.0
ep110,16.0
ep111,16.0
ep112,14.0
ep113,16.0
ep114,16.0
ep115,16.0
ep116,16.0
ep117,15.0
ep118,15.0
ep119,13.0
ep120,11.0
ep121,14.0
ep122,15.0
ep123,13.0
ep124,16.0
ep125,16.0
ep126,14.0
ep127,12.0
ep128,12.0
ep129,16.0
ep130,16.0
ep131,14.0
ep132,12.0
ep133,16.0
ep134,16.0
ep135,16.0
