,agent1
ep1,6.0
ep2,10.0
ep3,5.0
ep4,5.0
ep5,11.0
ep6,7.0
ep7,16.0
ep8,14.0
ep9,10.0
ep10,12.0
ep11,16.0
ep12,5.0
ep13,9.0
ep14,6.0
ep15,8.0
ep16,7.0
ep17,7.0
ep18,11.0
ep19,11.0
ep20,7.0
ep21,11.0
ep22,9.0
ep23,6.0
ep24,11.0
ep25,11.0
ep26,9.0
ep27,13.0
ep28,15.0
ep29,9.0
ep30,15.0
ep31,12.0
ep32,9.0
ep33,10.0
ep34,13.0
ep35,10.0
ep36,8.0
ep37,8.0
ep38,12.0
ep39,10.0
ep40,12.0
ep41,12.0
ep42,9.0
ep43,7.0
ep44,12.0
ep45,10.0
ep46,7.0
ep47,11.0
ep48,5.0
ep49,14.0
ep50,5.0
ep51,8.0
ep52,8.0
ep53,12.0
ep54,14.0
ep55,11.0
ep56,8.0
ep57,7.0
ep58,13.0
ep59,6.0
ep60,12.0
ep61,12.0
ep62,9.0
ep63,16.0
ep64,14.0
ep65,7.0
ep66,9.0
ep67,14.0
ep68,9.0
ep69,7.0
ep70,8.0
ep71,15.0
ep72,5.0
ep73,19.0
ep74,7.0
ep75,5.0
ep76,9.0
ep77,9.0
ep78,8.0
ep79,8.0
ep80,7.0
ep81,12.0
ep82,7.0
ep83,8.0
ep84,13.0
ep85,5.0
ep86,5.0
ep87,12.0
ep88,10.0
ep89,15.0
ep90,5.0
ep91,7.0
ep92,9.0
ep93,12.0
ep94,13.0
ep95,6.0
ep96,5.0
ep97,5.0
ep98,10.0
ep99,18.0
ep100,5.0
ep101,13.0
ep102,15.0
ep103,14.0
ep104,6.0
ep105,12.0
ep106,7.0
ep107,7.0
ep108,5.0
ep109,7.0
ep110,10.0
ep111,7.0
ep112,5.0
ep113,7.0
ep114,11.0
ep115,8.0
ep116,7.0
ep117,8.0
ep118,5.0
ep119,8.0
ep120,14.0
ep121,12.0
ep122,9.0
ep123,7.0
ep124,15.0
ep125,8.0
ep126,7.0
ep127,10.0
ep128,9.0
ep129,9.0
ep130,5.0
ep131,7.0
ep132,19.0
ep133,14.0
ep134,13.0
ep135,13.0
ep136,7.0
ep137,7.0
ep138,13.0
ep139,5.0
ep140,9.0
ep141,12.0
ep142,8.0
ep143,14.0
ep144,9.0
ep145,9.0
ep146,11.0
ep147,11.0
ep148,12.0
ep149,8.0
ep150,5.0
ep151,15.0
ep152,17.0
ep153,6.0
ep154,16.0
ep155,11.0
ep156,11.0
ep157,8.0
ep158,5.0
ep159,11.0
ep160,12.0
ep161,13.0
ep162,7.0
ep163,7.0
ep164,8.0
ep165,5.0
ep166,12.0
ep167,7.0
ep168,6.0
ep169,10.0
ep170,10.0
ep171,7.0
ep172,12.0
ep173,7.0
ep174,15.0
ep175,13.0
ep176,8.0
ep177,7.0
ep178,11.0
ep179,7.0
ep180,7.0
ep181,5.0
ep182,11.0
ep183,5.0
ep184,5.0
ep185,8.0
ep186,11.0
ep187,9.0
ep188,13.0
ep189,15.0
ep190,8.0
ep191,8.0
ep192,11.0
ep193,10.0
ep194,6.0
ep195,7.0
ep196,6.0
ep197,6.0
ep198,9.0
ep199,7.0
ep200,12.0
ep201,13.0
ep202,12.0
ep203,14.0
ep204,10.0
ep205,7.0
ep206,8.0
ep207,10.0
ep208,10.0
ep209,6.0
ep210,16.0
ep211,14.0
ep212,7.0
ep213,10.0
ep214,12.0
ep215,9.0
ep216,7.0
ep217,5.0
ep218,7.0
ep219,8.0
ep220,14.0
ep221,5.0
ep222,9.0
ep223,10.0
ep224,16.0
ep225,7.0
ep226,8.0
ep227,5.0
ep228,10.0
ep229,7.0
ep230,7.0
ep231,7.0
ep232,16.0
ep233,11.0
ep234,11.0
ep235,10.0
ep236,13.0
ep237,15.0
ep238,13.0
ep239,15.0
ep240,15.0
ep241,10.0
ep242,7.0
ep243,8.0
ep244,11.0
ep245,9.0
ep246,8.0
ep247,11.0
ep248,10.0
ep249,10.0
ep250,10.0
ep251,11.0
ep252,15.0
ep253,15.0
ep254,13.0
ep255,6.0
ep256,7.0
ep257,7.0
ep258,17.0
ep259,10.0
ep260,8.0
ep261,9.0
ep262,13.0
ep263,12.0
ep264,11.0
ep265,11.0
ep266,11.0
ep267,11.0
ep268,15.0
ep269,12.0
ep270,10.0
ep271,7.0
ep272,7.0
ep273,8.0
ep274,7.0
ep275,7.0
ep276,5.0
ep277,11.0
ep278,10.0
ep279,8.0
ep280,10.0
ep281,7.0
ep282,10.0
ep283,12.0
ep284,8.0
ep285,11.0
ep286,8.0
ep287,12.0
ep288,6.0
ep289,11.0
ep290,5.0
ep291,6.0
ep292,17.0
ep293,11.0
ep294,11.0
ep295,20.0
ep296,8.0
ep297,11.0
ep298,8.0
ep299,5.0
ep300,7.0
ep301,5.0
ep302,11.0
ep303,8.0
ep304,14.0
ep305,8.0
ep306,9.0
ep307,16.0
ep308,5.0
ep309,11.0
ep310,12.0
ep311,17.0
ep312,13.0
ep313,9.0
ep314,12.0
ep315,9.0
ep316,11.0
