,agent1
ep400,0.0
ep401,0.0
ep402,0.0
ep403,1.0
ep404,1.0
ep405,0.0
ep406,1.0
ep407,1.0
ep408,0.0
ep409,1.0
ep410,1.0
ep411,0.0
ep412,1.0
ep413,1.0
ep414,1.0
ep415,1.0
ep416,1.0
ep417,1.0
ep418,1.0
ep419,0.0
ep420,0.0
ep421,0.0
ep422,0.0
ep423,1.0
ep424,1.0
ep425,1.0
ep426,0.0
ep427,0.0
ep428,0.0
ep429,1.0
ep430,0.0
ep431,1.0
ep432,0.0
ep433,0.0
ep434,0.0
ep435,0.0
ep436,0.0
ep437,0.0
ep438,0.0
ep439,0.0
ep440,0.0
ep441,0.0
ep442,0.0
ep443,1.0
ep444,0.0
ep445,0.0
ep446,0.0
ep447,0.0
ep448,1.0
ep449,0.0
ep450,1.0
ep451,1.0
ep452,0.0
ep453,0.0
ep454,0.0
ep455,0.0
ep456,0.0
ep457,1.0
ep458,1.0
ep459,1.0
ep460,0.0
ep461,0.0
ep462,0.0
ep463,0.0
ep464,0.0
ep465,1.0
ep466,0.0
ep467,0.0
ep468,1.0
ep469,0.0
ep470,0.0
ep471,0.0
ep472,0.0
ep473,1.0
ep474,0.0
ep475,1.0
ep476,0.0
ep477,1.0
ep478,0.0
ep479,0.0
ep480,1.0
ep481,1.0
ep482,0.0
ep483,1.0
ep484,1.0
ep485,0.0
ep486,1.0
ep487,0.0
ep488,0.0
ep489,0.0
ep490,1.0
ep491,0.0
ep492,1.0
ep493,0.0
ep494,0.0
ep495,1.0
ep496,0.0
ep497,1.0
ep498,0.0
ep499,0.0
ep500,0.0
ep501,1.0
ep502,0.0
ep503,1.0
ep504,0.0
ep505,1.0
ep506,1.0
ep507,1.0
ep508,0.0
ep509,1.0
ep510,1.0
ep511,1.0
ep512,0.0
ep513,1.0
ep514,1.0
ep515,0.0
ep516,1.0
ep517,0.0
ep518,0.0
ep519,1.0
ep520,0.0
ep521,1.0
ep522,0.0
ep523,1.0
ep524,0.0
ep525,1.0
ep526,0.0
ep527,1.0
ep528,0.0
ep529,1.0
ep530,0.0
ep531,0.0
ep532,0.0
ep533,1.0
ep534,1.0
ep535,0.0
ep536,1.0
ep537,0.0
ep538,0.0
ep539,1.0
ep540,1.0
ep541,1.0
ep542,0.0
ep543,0.0
ep544,1.0
ep545,1.0
ep546,0.0
ep547,0.0
ep548,0.0
ep549,0.0
ep550,1.0
ep551,1.0
ep552,1.0
ep553,0.0
ep554,1.0
ep555,1.0
ep556,1.0
ep557,0.0
ep558,1.0
ep559,1.0
ep560,0.0
ep561,1.0
ep562,0.0
ep563,1.0
ep564,1.0
ep565,1.0
ep566,0.0
ep567,1.0
ep568,1.0
ep569,0.0
ep570,1.0
ep571,1.0
ep572,0.0
ep573,1.0
ep574,1.0
ep575,0.0
ep576,0.0
ep577,1.0
ep578,1.0
ep579,1.0
ep580,0.0
ep581,1.0
ep582,1.0
ep583,0.0
ep584,1.0
ep585,1.0
ep586,1.0
ep587,1.0
ep588,0.0
ep589,1.0
ep590,0.0
ep591,0.0
ep592,0.0
ep593,1.0
ep594,1.0
ep595,1.0
ep596,1.0
ep597,1.0
ep598,1.0
ep599,0.0
ep600,0.0
ep601,0.0
ep602,0.0
ep603,1.0
ep604,0.0
ep605,1.0
ep606,0.0
ep607,1.0
ep608,0.0
ep609,1.0
ep610,1.0
ep611,0.0
ep612,0.0
ep613,0.0
ep614,1.0
ep615,1.0
ep616,0.0
ep617,1.0
ep618,1.0
ep619,1.0
ep620,0.0
ep621,1.0
ep622,0.0
ep623,1.0
ep624,1.0
ep625,0.0
ep626,1.0
ep627,1.0
ep628,0.0
ep629,1.0
ep630,0.0
ep631,0.0
ep632,0.0
ep633,1.0
ep634,0.0
ep635,1.0
ep636,1.0
ep637,0.0
ep638,0.0
ep639,0.0
ep640,0.0
ep641,0.0
ep642,0.0
ep643,1.0
ep644,1.0
ep645,0.0
ep646,0.0
ep647,0.0
ep648,1.0
ep649,1.0
ep650,0.0
ep651,0.0
ep652,0.0
ep653,0.0
ep654,0.0
ep655,0.0
ep656,0.0
ep657,1.0
ep658,0.0
ep659,1.0
ep660,1.0
ep661,0.0
ep662,0.0
ep663,0.0
ep664,0.0
ep665,0.0
ep666,0.0
ep667,1.0
ep668,1.0
ep669,1.0
ep670,1.0
ep671,1.0
ep672,0.0
ep673,1.0
ep674,0.0
ep675,0.0
ep676,0.0
ep677,0.0
ep678,0.0
ep679,1.0
ep680,0.0
ep681,0.0
ep682,0.0
ep683,1.0
ep684,0.0
ep685,0.0
ep686,1.0
ep687,1.0
ep688,1.0
ep689,1.0
ep690,1.0
ep691,1.0
ep692,1.0
ep693,0.0
ep694,0.0
ep695,1.0
ep696,1.0
ep697,1.0
ep698,1.0
ep699,1.0
ep700,0.0
ep701,1.0
ep702,0.0
ep703,0.0
ep704,1.0
ep705,0.0
ep706,0.0
ep707,1.0
ep708,0.0
ep709,1.0
ep710,0.0
ep711,1.0
ep712,1.0
ep713,1.0
