,agent1
ep382,1.0
ep383,0.0
ep384,0.0
ep385,0.0
ep386,0.0
ep387,0.0
ep388,1.0
ep389,0.0
ep390,1.0
ep391,0.0
ep392,1.0
ep393,0.0
ep394,0.0
ep395,1.0
ep396,1.0
ep397,1.0
ep398,0.0
ep399,1.0
ep400,1.0
ep401,1.0
ep402,1.0
ep403,0.0
ep404,1.0
ep405,1.0
ep406,0.0
ep407,1.0
ep408,0.0
ep409,1.0
ep410,0.0
ep411,0.0
ep412,0.0
ep413,1.0
ep414,0.0
ep415,1.0
ep416,0.0
ep417,1.0
ep418,0.0
ep419,1.0
ep420,1.0
ep421,1.0
ep422,0.0
ep423,1.0
ep424,0.0
ep425,1.0
ep426,0.0
ep427,0.0
ep428,0.0
ep429,0.0
ep430,0.0
ep431,0.0
ep432,1.0
ep433,0.0
ep434,1.0
ep435,1.0
ep436,1.0
ep437,1.0
ep438,0.0
ep439,1.0
ep440,0.0
ep441,0.0
ep442,1.0
ep443,1.0
ep444,0.0
ep445,1.0
ep446,1.0
ep447,0.0
ep448,1.0
ep449,0.0
ep450,1.0
ep451,0.0
ep452,1.0
ep453,0.0
ep454,0.0
ep455,1.0
ep456,0.0
ep457,0.0
ep458,1.0
ep459,1.0
ep460,0.0
ep461,1.0
ep462,0.0
ep463,0.0
ep464,1.0
ep465,1.0
ep466,0.0
ep467,1.0
ep468,0.0
ep469,1.0
ep470,1.0
ep471,1.0
ep472,0.0
ep473,1.0
ep474,0.0
ep475,0.0
ep476,1.0
ep477,0.0
ep478,1.0
ep479,0.0
ep480,0.0
ep481,1.0
ep482,0.0
ep483,0.0
ep484,1.0
ep485,0.0
ep486,0.0
ep487,1.0
ep488,0.0
ep489,0.0
ep490,1.0
ep491,1.0
ep492,0.0
ep493,0.0
ep494,1.0
ep495,1.0
ep496,1.0
ep497,0.0
ep498,0.0
ep499,0.0
ep500,0.0
ep501,1.0
ep502,1.0
ep503,1.0
ep504,1.0
ep505,1.0
ep506,1.0
ep507,1.0
ep508,1.0
ep509,0.0
ep510,0.0
ep511,1.0
ep512,0.0
ep513,1.0
ep514,1.0
ep515,0.0
ep516,0.0
ep517,0.0
ep518,0.0
ep519,1.0
ep520,0.0
ep521,1.0
ep522,0.0
ep523,0.0
ep524,1.0
ep525,0.0
ep526,1.0
ep527,1.0
ep528,1.0
ep529,1.0
ep530,1.0
ep531,1.0
ep532,1.0
ep533,1.0
ep534,1.0
ep535,0.0
ep536,1.0
ep537,0.0
ep538,1.0
ep539,0.0
ep540,0.0
ep541,1.0
ep542,1.0
ep543,1.0
ep544,1.0
ep545,0.0
ep546,0.0
ep547,0.0
ep548,0.0
ep549,0.0
ep550,0.0
ep551,0.0
ep552,0.0
ep553,0.0
ep554,0.0
ep555,1.0
ep556,1.0
ep557,1.0
ep558,0.0
ep559,0.0
ep560,1.0
ep561,0.0
ep562,0.0
ep563,0.0
ep564,1.0
ep565,0.0
ep566,1.0
ep567,1.0
ep568,0.0
ep569,0.0
ep570,1.0
ep571,0.0
ep572,0.0
ep573,0.0
ep574,1.0
ep575,0.0
ep576,1.0
ep577,0.0
ep578,1.0
ep579,0.0
ep580,1.0
ep581,0.0
ep582,1.0
ep583,0.0
ep584,1.0
ep585,1.0
ep586,0.0
ep587,1.0
ep588,1.0
ep589,0.0
ep590,0.0
ep591,0.0
ep592,1.0
ep593,0.0
ep594,1.0
ep595,0.0
ep596,0.0
ep597,0.0
ep598,1.0
ep599,0.0
ep600,0.0
ep601,0.0
ep602,0.0
ep603,0.0
ep604,1.0
ep605,1.0
ep606,0.0
ep607,1.0
ep608,1.0
ep609,0.0
ep610,0.0
ep611,1.0
ep612,0.0
ep613,0.0
ep614,1.0
ep615,1.0
ep616,1.0
ep617,1.0
ep618,1.0
ep619,1.0
ep620,0.0
ep621,0.0
ep622,1.0
ep623,0.0
ep624,0.0
ep625,0.0
ep626,1.0
ep627,0.0
ep628,1.0
ep629,1.0
ep630,1.0
ep631,0.0
ep632,0.0
ep633,1.0
ep634,0.0
ep635,1.0
ep636,1.0
ep637,1.0
ep638,0.0
ep639,1.0
ep640,1.0
ep641,0.0
ep642,0.0
ep643,0.0
ep644,1.0
ep645,0.0
ep646,0.0
ep647,1.0
ep648,1.0
ep649,1.0
ep650,0.0
ep651,1.0
ep652,0.0
ep653,1.0
ep654,1.0
ep655,0.0
ep656,0.0
ep657,0.0
ep658,1.0
ep659,1.0
ep660,1.0
ep661,0.0
ep662,0.0
ep663,0.0
ep664,0.0
ep665,0.0
ep666,1.0
ep667,0.0
ep668,1.0
ep669,1.0
ep670,0.0
ep671,1.0
ep672,0.0
ep673,0.0
ep674,1.0
ep675,1.0
ep676,0.0
ep677,1.0
