,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19,agent20,agent21,agent22,agent23,agent24,agent25,agent26,agent27,agent28,agent29,agent30,agent31,agent32,agent33,agent34,agent35,agent36,agent37,agent38,agent39,agent40,agent41,agent42,agent43,agent44,agent45,agent46,agent47,agent48,agent49,agent50
ep1,29.0,24.0,22.0,27.0,18.0,24.0,34.0,19.0,20.0,14.0,11.0,26.0,13.0,18.0,23.0,13.0,22.0,18.0,19.0,14.0,25.0,16.0,30.0,10.0,24.0,22.0,13.0,7.0,18.0,34.0,18.0,14.0,32.0,10.0,34.0,22.0,14.0,15.0,15.0,36.0,18.0,14.0,17.0,25.0,13.0,7.0,13.0,28.0,20.0,34.0
ep2,25.0,12.0,17.0,24.0,23.0,18.0,19.0,9.0,27.0,22.0,12.0,30.0,12.0,13.0,17.0,23.0,12.0,30.0,29.0,18.0,16.0,29.0,37.0,19.0,23.0,21.0,19.0,15.0,15.0,30.0,30.0,22.0,19.0,12.0,11.0,18.0,26.0,25.0,26.0,14.0,39.0,22.0,20.0,23.0,26.0,17.0,42.0,20.0,32.0,28.0
ep3,20.0,13.0,23.0,27.0,35.0,17.0,36.0,27.0,31.0,18.0,19.0,16.0,14.0,34.0,10.0,27.0,34.0,38.0,10.0,29.0,19.0,16.0,13.0,36.0,28.0,20.0,21.0,28.0,21.0,22.0,17.0,19.0,25.0,19.0,32.0,15.0,17.0,21.0,21.0,13.0,25.0,15.0,25.0,8.0,35.0,29.0,31.0,29.0,8.0,9.0
ep4,19.0,17.0,24.0,9.0,27.0,7.0,10.0,9.0,12.0,10.0,35.0,37.0,7.0,38.0,16.0,14.0,7.0,14.0,7.0,15.0,33.0,21.0,10.0,29.0,19.0,19.0,20.0,19.0,26.0,25.0,31.0,20.0,20.0,17.0,27.0,24.0,17.0,27.0,10.0,29.0,20.0,16.0,28.0,21.0,21.0,20.0,21.0,21.0,16.0,18.0
ep5,15.0,15.0,32.0,36.0,33.0,28.0,22.0,9.0,37.0,14.0,11.0,22.0,23.0,26.0,28.0,13.0,19.0,21.0,10.0,15.0,39.0,37.0,24.0,18.0,23.0,28.0,10.0,25.0,26.0,32.0,7.0,22.0,17.0,14.0,17.0,15.0,30.0,15.0,18.0,28.0,14.0,20.0,26.0,26.0,12.0,21.0,31.0,24.0,25.0,10.0
ep6,9.0,11.0,20.0,25.0,16.0,9.0,16.0,21.0,32.0,23.0,20.0,18.0,26.0,26.0,24.0,20.0,22.0,28.0,9.0,30.0,41.0,19.0,29.0,13.0,32.0,9.0,29.0,16.0,13.0,17.0,23.0,13.0,16.0,19.0,32.0,21.0,18.0,18.0,19.0,23.0,18.0,33.0,23.0,27.0,30.0,21.0,9.0,21.0,23.0,22.0
ep7,15.0,21.0,22.0,32.0,12.0,11.0,31.0,24.0,18.0,11.0,25.0,38.0,28.0,24.0,30.0,24.0,17.0,27.0,21.0,23.0,23.0,28.0,33.0,21.0,29.0,27.0,11.0,18.0,13.0,29.0,26.0,20.0,21.0,13.0,27.0,38.0,21.0,10.0,32.0,38.0,16.0,21.0,21.0,33.0,20.0,13.0,35.0,24.0,11.0,22.0
ep8,31.0,19.0,19.0,12.0,22.0,9.0,30.0,34.0,26.0,23.0,21.0,16.0,21.0,21.0,31.0,14.0,39.0,32.0,19.0,24.0,20.0,19.0,26.0,19.0,20.0,25.0,19.0,35.0,9.0,16.0,25.0,11.0,9.0,19.0,27.0,21.0,11.0,27.0,14.0,31.0,19.0,20.0,24.0,18.0,39.0,12.0,22.0,18.0,29.0,36.0
ep9,24.0,27.0,34.0,28.0,35.0,30.0,11.0,16.0,28.0,14.0,26.0,35.0,20.0,13.0,23.0,20.0,33.0,21.0,28.0,19.0,11.0,23.0,18.0,32.0,36.0,32.0,40.0,16.0,21.0,9.0,36.0,27.0,12.0,37.0,31.0,19.0,23.0,20.0,23.0,11.0,10.0,20.0,19.0,9.0,25.0,28.0,35.0,12.0,24.0,30.0
ep10,18.0,13.0,22.0,11.0,22.0,18.0,15.0,18.0,27.0,16.0,9.0,20.0,17.0,29.0,29.0,29.0,11.0,27.0,27.0,30.0,22.0,20.0,26.0,16.0,15.0,10.0,26.0,24.0,17.0,26.0,30.0,21.0,19.0,19.0,22.0,24.0,29.0,21.0,20.0,27.0,16.0,15.0,30.0,30.0,21.0,14.0,22.0,22.0,24.0,25.0
