,agent1
ep400,16.0
ep401,16.0
ep402,14.0
ep403,16.0
ep404,16.0
ep405,13.0
ep406,16.0
ep407,16.0
ep408,15.0
ep409,16.0
ep410,16.0
ep411,14.0
ep412,16.0
ep413,16.0
ep414,16.0
ep415,16.0
ep416,16.0
ep417,16.0
ep418,16.0
ep419,13.0
ep420,16.0
ep421,16.0
ep422,10.0
ep423,16.0
ep424,16.0
ep425,16.0
ep426,16.0
ep427,16.0
ep428,13.0
ep429,16.0
ep430,11.0
ep431,16.0
ep432,16.0
ep433,13.0
ep434,13.0
ep435,9.0
ep436,14.0
ep437,14.0
ep438,12.0
ep439,12.0
ep440,16.0
ep441,11.0
ep442,13.0
ep443,16.0
ep444,13.0
ep445,12.0
ep446,12.0
ep447,14.0
ep448,16.0
ep449,7.0
ep450,16.0
ep451,16.0
ep452,15.0
ep453,14.0
ep454,14.0
ep455,9.0
ep456,9.0
ep457,16.0
ep458,16.0
ep459,16.0
ep460,14.0
ep461,9.0
ep462,16.0
ep463,14.0
ep464,9.0
ep465,16.0
ep466,14.0
ep467,14.0
ep468,16.0
ep469,15.0
ep470,9.0
ep471,12.0
ep472,12.0
ep473,16.0
ep474,16.0
ep475,16.0
ep476,9.0
ep477,16.0
ep478,15.0
ep479,14.0
ep480,16.0
ep481,16.0
ep482,15.0
ep483,16.0
ep484,16.0
ep485,11.0
ep486,16.0
ep487,11.0
ep488,13.0
ep489,12.0
ep490,16.0
ep491,15.0
ep492,16.0
ep493,11.0
ep494,16.0
ep495,16.0
ep496,12.0
ep497,16.0
ep498,16.0
ep499,13.0
ep500,16.0
ep501,16.0
ep502,13.0
ep503,16.0
ep504,11.0
ep505,16.0
ep506,16.0
ep507,16.0
ep508,16.0
ep509,16.0
ep510,16.0
ep511,16.0
ep512,16.0
ep513,16.0
ep514,16.0
ep515,9.0
ep516,16.0
ep517,7.0
ep518,14.0
ep519,16.0
ep520,13.0
ep521,16.0
ep522,14.0
ep523,16.0
ep524,10.0
ep525,16.0
ep526,14.0
ep527,16.0
ep528,13.0
ep529,16.0
ep530,13.0
ep531,13.0
ep532,13.0
ep533,16.0
ep534,16.0
ep535,10.0
ep536,16.0
ep537,13.0
ep538,11.0
ep539,16.0
ep540,16.0
ep541,16.0
ep542,16.0
ep543,14.0
ep544,16.0
ep545,16.0
ep546,16.0
ep547,14.0
ep548,15.0
ep549,13.0
ep550,16.0
ep551,16.0
ep552,16.0
ep553,15.0
ep554,16.0
ep555,16.0
ep556,16.0
ep557,10.0
ep558,16.0
ep559,16.0
ep560,16.0
ep561,16.0
