,agent1
ep1,13.0
ep2,16.0
ep3,16.0
ep4,16.0
ep5,15.0
ep6,16.0
ep7,11.0
ep8,15.0
ep9,9.0
ep10,9.0
ep11,16.0
ep12,11.0
ep13,13.0
ep14,15.0
ep15,16.0
ep16,10.0
ep17,16.0
ep18,9.0
ep19,16.0
ep20,14.0
ep21,15.0
ep22,16.0
ep23,16.0
ep24,16.0
ep25,14.0
ep26,16.0
ep27,16.0
ep28,16.0
ep29,16.0
ep30,16.0
ep31,14.0
ep32,16.0
ep33,14.0
ep34,16.0
ep35,12.0
ep36,16.0
ep37,16.0
ep38,16.0
ep39,13.0
ep40,9.0
ep41,16.0
ep42,13.0
ep43,16.0
ep44,15.0
ep45,13.0
ep46,16.0
ep47,16.0
ep48,16.0
ep49,16.0
ep50,16.0
ep51,8.0
ep52,15.0
ep53,16.0
ep54,16.0
ep55,15.0
ep56,11.0
ep57,14.0
ep58,16.0
ep59,16.0
ep60,14.0
ep61,10.0
ep62,12.0
ep63,16.0
ep64,16.0
ep65,16.0
ep66,16.0
ep67,15.0
ep68,13.0
ep69,15.0
ep70,14.0
ep71,11.0
ep72,16.0
ep73,11.0
ep74,11.0
ep75,16.0
ep76,16.0
ep77,14.0
ep78,15.0
ep79,16.0
ep80,12.0
ep81,16.0
ep82,16.0
ep83,16.0
ep84,16.0
ep85,16.0
ep86,7.0
ep87,7.0
ep88,13.0
ep89,16.0
ep90,9.0
ep91,16.0
ep92,16.0
ep93,11.0
ep94,16.0
ep95,15.0
ep96,16.0
ep97,16.0
ep98,13.0
ep99,16.0
ep100,15.0
ep101,15.0
ep102,16.0
ep103,16.0
ep104,16.0
ep105,16.0
ep106,8.0
ep107,16.0
ep108,16.0
ep109,13.0
ep110,14.0
ep111,16.0
ep112,15.0
ep113,16.0
ep114,13.0
ep115,16.0
ep116,16.0
ep117,15.0
ep118,13.0
ep119,16.0
ep120,16.0
ep121,13.0
ep122,14.0
ep123,12.0
ep124,15.0
ep125,15.0
ep126,16.0
ep127,15.0
ep128,16.0
ep129,16.0
ep130,16.0
ep131,13.0
ep132,16.0
ep133,16.0
ep134,15.0
ep135,16.0
ep136,16.0
ep137,16.0
ep138,13.0
ep139,9.0
ep140,15.0
ep141,16.0
ep142,14.0
