,agent1
ep1,10.0
ep2,18.0
ep3,7.0
ep4,10.0
ep5,12.0
ep6,7.0
ep7,14.0
ep8,9.0
ep9,9.0
ep10,8.0
ep11,9.0
ep12,12.0
ep13,5.0
ep14,14.0
ep15,12.0
ep16,6.0
ep17,13.0
ep18,10.0
ep19,8.0
ep20,7.0
ep21,7.0
ep22,13.0
ep23,11.0
ep24,8.0
ep25,7.0
ep26,9.0
ep27,13.0
ep28,9.0
ep29,7.0
ep30,11.0
ep31,11.0
ep32,14.0
ep33,15.0
ep34,10.0
ep35,12.0
ep36,13.0
ep37,12.0
ep38,6.0
ep39,12.0
ep40,10.0
ep41,13.0
ep42,9.0
ep43,8.0
ep44,10.0
ep45,6.0
ep46,7.0
ep47,9.0
ep48,11.0
ep49,11.0
ep50,10.0
ep51,9.0
ep52,8.0
ep53,11.0
ep54,9.0
ep55,10.0
ep56,10.0
ep57,14.0
ep58,8.0
ep59,9.0
ep60,8.0
ep61,14.0
ep62,11.0
ep63,11.0
ep64,10.0
ep65,9.0
ep66,8.0
ep67,12.0
ep68,13.0
ep69,8.0
ep70,9.0
ep71,5.0
ep72,9.0
ep73,6.0
ep74,10.0
ep75,7.0
ep76,5.0
ep77,9.0
ep78,10.0
ep79,7.0
ep80,5.0
ep81,10.0
ep82,5.0
ep83,15.0
ep84,8.0
ep85,10.0
ep86,16.0
ep87,10.0
ep88,6.0
ep89,5.0
ep90,9.0
ep91,7.0
ep92,7.0
ep93,8.0
ep94,9.0
ep95,7.0
ep96,15.0
ep97,8.0
ep98,5.0
ep99,9.0
ep100,11.0
ep101,12.0
ep102,9.0
ep103,5.0
ep104,15.0
ep105,15.0
ep106,11.0
ep107,9.0
ep108,11.0
ep109,8.0
ep110,14.0
ep111,11.0
ep112,6.0
ep113,12.0
ep114,8.0
ep115,11.0
ep116,7.0
ep117,6.0
ep118,11.0
ep119,14.0
ep120,13.0
ep121,5.0
ep122,7.0
ep123,11.0
ep124,12.0
ep125,19.0
ep126,8.0
ep127,12.0
ep128,11.0
ep129,14.0
ep130,8.0
ep131,14.0
ep132,9.0
ep133,11.0
ep134,8.0
ep135,12.0
ep136,11.0
ep137,8.0
ep138,12.0
ep139,9.0
ep140,9.0
ep141,7.0
ep142,6.0
ep143,13.0
ep144,15.0
ep145,8.0
ep146,7.0
ep147,14.0
ep148,13.0
ep149,18.0
ep150,10.0
ep151,5.0
ep152,9.0
ep153,11.0
ep154,8.0
ep155,11.0
ep156,13.0
ep157,5.0
ep158,7.0
ep159,5.0
ep160,7.0
ep161,6.0
ep162,11.0
ep163,5.0
ep164,15.0
ep165,19.0
ep166,10.0
ep167,11.0
ep168,9.0
ep169,11.0
ep170,11.0
ep171,6.0
ep172,11.0
ep173,10.0
ep174,10.0
ep175,7.0
ep176,7.0
ep177,13.0
ep178,13.0
ep179,5.0
ep180,14.0
ep181,7.0
ep182,9.0
ep183,17.0
ep184,7.0
ep185,10.0
ep186,9.0
ep187,10.0
ep188,9.0
ep189,5.0
ep190,12.0
ep191,7.0
ep192,5.0
ep193,5.0
ep194,11.0
ep195,5.0
ep196,19.0
ep197,11.0
ep198,11.0
ep199,5.0
ep200,5.0
ep201,15.0
ep202,9.0
ep203,17.0
ep204,7.0
ep205,8.0
ep206,9.0
ep207,12.0
ep208,9.0
ep209,11.0
ep210,9.0
ep211,12.0
ep212,7.0
ep213,15.0
ep214,10.0
ep215,20.0
ep216,6.0
ep217,11.0
ep218,9.0
ep219,7.0
ep220,10.0
ep221,17.0
ep222,15.0
ep223,8.0
ep224,9.0
ep225,13.0
ep226,9.0
ep227,9.0
ep228,11.0
ep229,12.0
ep230,11.0
ep231,13.0
ep232,9.0
ep233,13.0
ep234,9.0
ep235,13.0
ep236,6.0
ep237,5.0
ep238,16.0
ep239,5.0
ep240,7.0
ep241,7.0
ep242,5.0
ep243,9.0
ep244,9.0
ep245,9.0
ep246,7.0
ep247,8.0
ep248,9.0
ep249,7.0
ep250,10.0
ep251,13.0
ep252,14.0
ep253,14.0
ep254,15.0
ep255,7.0
ep256,8.0
ep257,12.0
ep258,13.0
ep259,8.0
ep260,8.0
ep261,15.0
ep262,10.0
ep263,16.0
ep264,15.0
ep265,11.0
ep266,17.0
ep267,7.0
ep268,5.0
ep269,11.0
ep270,14.0
ep271,7.0
ep272,14.0
ep273,12.0
ep274,5.0
ep275,11.0
ep276,14.0
ep277,9.0
ep278,7.0
ep279,8.0
ep280,12.0
ep281,9.0
ep282,5.0
ep283,9.0
ep284,9.0
ep285,12.0
ep286,7.0
ep287,13.0
ep288,10.0
ep289,9.0
ep290,11.0
ep291,7.0
ep292,8.0
ep293,7.0
ep294,5.0
ep295,9.0
ep296,8.0
ep297,11.0
ep298,13.0
ep299,14.0
ep300,18.0
ep301,9.0
ep302,5.0
ep303,7.0
ep304,9.0
ep305,16.0
ep306,7.0
ep307,7.0
ep308,5.0
ep309,7.0
ep310,14.0
ep311,11.0
ep312,7.0
ep313,5.0
ep314,14.0
ep315,16.0
ep316,6.0
ep317,7.0
ep318,5.0
ep319,12.0
ep320,14.0
ep321,11.0
ep322,16.0
ep323,10.0
ep324,11.0
ep325,9.0
ep326,10.0
ep327,5.0
ep328,8.0
ep329,11.0
ep330,9.0
ep331,11.0
ep332,9.0
ep333,15.0
ep334,7.0
ep335,10.0
ep336,10.0
ep337,8.0
ep338,11.0
ep339,13.0
ep340,11.0
ep341,11.0
ep342,8.0
ep343,5.0
ep344,12.0
ep345,12.0
ep346,8.0
ep347,17.0
ep348,15.0
ep349,15.0
ep350,15.0
ep351,9.0
ep352,12.0
ep353,12.0
ep354,9.0
ep355,14.0
ep356,8.0
ep357,9.0
ep358,10.0
ep359,5.0
ep360,11.0
ep361,9.0
ep362,8.0
ep363,12.0
ep364,11.0
ep365,11.0
ep366,5.0
ep367,12.0
ep368,13.0
ep369,8.0
ep370,8.0
ep371,11.0
ep372,7.0
ep373,12.0
ep374,11.0
ep375,5.0
ep376,11.0
ep377,16.0
ep378,7.0
ep379,13.0
ep380,9.0
ep381,5.0
ep382,11.0
ep383,12.0
ep384,7.0
ep385,15.0
ep386,12.0
ep387,11.0
ep388,15.0
ep389,13.0
ep390,14.0
ep391,9.0
ep392,11.0
ep393,8.0
ep394,9.0
ep395,9.0
ep396,16.0
ep397,9.0
ep398,11.0
ep399,9.0
ep400,11.0
ep401,14.0
ep402,8.0
ep403,12.0
ep404,18.0
ep405,9.0
ep406,5.0
ep407,8.0
ep408,11.0
ep409,15.0
ep410,10.0
ep411,16.0
ep412,10.0
ep413,8.0
ep414,8.0
ep415,9.0
ep416,5.0
ep417,9.0
ep418,9.0
ep419,18.0
ep420,5.0
ep421,9.0
ep422,5.0
ep423,14.0
ep424,5.0
ep425,12.0
ep426,11.0
ep427,12.0
ep428,5.0
ep429,7.0
ep430,8.0
ep431,13.0
ep432,8.0
ep433,9.0
ep434,5.0
ep435,12.0
ep436,12.0
ep437,12.0
ep438,15.0
ep439,7.0
ep440,11.0
ep441,9.0
ep442,6.0
ep443,9.0
ep444,6.0
ep445,12.0
ep446,12.0
ep447,14.0
ep448,11.0
ep449,14.0
ep450,7.0
ep451,15.0
ep452,7.0
ep453,11.0
ep454,9.0
ep455,8.0
ep456,8.0
ep457,11.0
ep458,15.0
ep459,9.0
ep460,14.0
ep461,8.0
ep462,11.0
ep463,10.0
ep464,10.0
ep465,12.0
ep466,7.0
ep467,11.0
ep468,10.0
ep469,6.0
ep470,9.0
ep471,5.0
ep472,10.0
ep473,5.0
ep474,5.0
ep475,7.0
ep476,13.0
ep477,14.0
ep478,11.0
ep479,8.0
ep480,13.0
ep481,7.0
ep482,7.0
ep483,7.0
ep484,12.0
ep485,9.0
ep486,16.0
ep487,12.0
ep488,10.0
ep489,11.0
ep490,7.0
ep491,13.0
ep492,9.0
ep493,5.0
ep494,10.0
ep495,10.0
ep496,7.0
ep497,13.0
ep498,12.0
ep499,10.0
ep500,9.0
ep501,5.0
ep502,12.0
ep503,10.0
ep504,21.0
ep505,11.0
ep506,5.0
ep507,9.0
ep508,13.0
ep509,9.0
ep510,8.0
ep511,12.0
ep512,8.0
ep513,11.0
ep514,8.0
ep515,14.0
ep516,14.0
ep517,9.0
ep518,9.0
ep519,9.0
ep520,11.0
ep521,11.0
ep522,9.0
ep523,12.0
ep524,15.0
ep525,12.0
ep526,5.0
ep527,11.0
ep528,16.0
ep529,7.0
ep530,11.0
ep531,15.0
ep532,13.0
ep533,9.0
ep534,7.0
ep535,12.0
ep536,5.0
ep537,9.0
ep538,10.0
ep539,8.0
ep540,7.0
ep541,5.0
ep542,14.0
ep543,12.0
ep544,5.0
ep545,9.0
ep546,7.0
ep547,11.0
ep548,5.0
ep549,16.0
ep550,5.0
ep551,9.0
ep552,12.0
ep553,7.0
ep554,7.0
ep555,7.0
ep556,6.0
ep557,5.0
ep558,7.0
ep559,10.0
ep560,11.0
ep561,12.0
ep562,8.0
ep563,10.0
ep564,11.0
ep565,14.0
ep566,10.0
ep567,9.0
ep568,6.0
ep569,10.0
ep570,6.0
ep571,5.0
ep572,5.0
ep573,16.0
ep574,5.0
ep575,16.0
ep576,7.0
ep577,11.0
ep578,13.0
ep579,6.0
ep580,15.0
ep581,11.0
ep582,14.0
ep583,7.0
ep584,5.0
ep585,7.0
ep586,7.0
ep587,10.0
ep588,5.0
ep589,15.0
ep590,9.0
ep591,5.0
ep592,8.0
ep593,6.0
ep594,5.0
ep595,7.0
ep596,12.0
ep597,12.0
ep598,13.0
ep599,6.0
ep600,15.0
ep601,7.0
ep602,8.0
ep603,5.0
ep604,9.0
ep605,10.0
ep606,11.0
ep607,7.0
ep608,17.0
ep609,6.0
ep610,14.0
ep611,9.0
ep612,14.0
ep613,7.0
ep614,11.0
ep615,10.0
ep616,9.0
ep617,10.0
ep618,14.0
ep619,9.0
ep620,6.0
ep621,11.0
ep622,9.0
ep623,14.0
ep624,8.0
ep625,9.0
ep626,9.0
ep627,7.0
ep628,5.0
ep629,6.0
ep630,14.0
ep631,18.0
ep632,6.0
ep633,8.0
ep634,11.0
ep635,11.0
ep636,5.0
ep637,11.0
ep638,10.0
ep639,13.0
ep640,11.0
ep641,10.0
ep642,6.0
ep643,13.0
ep644,10.0
ep645,19.0
ep646,14.0
ep647,13.0
ep648,7.0
ep649,12.0
ep650,5.0
ep651,9.0
ep652,12.0
ep653,9.0
ep654,10.0
ep655,15.0
ep656,5.0
ep657,5.0
ep658,7.0
ep659,7.0
ep660,11.0
ep661,6.0
ep662,6.0
ep663,12.0
ep664,6.0
ep665,13.0
ep666,14.0
ep667,13.0
ep668,8.0
ep669,8.0
ep670,15.0
ep671,16.0
ep672,14.0
ep673,13.0
ep674,11.0
ep675,12.0
ep676,11.0
ep677,11.0
ep678,16.0
ep679,20.0
ep680,8.0
ep681,9.0
ep682,6.0
ep683,9.0
ep684,12.0
ep685,9.0
ep686,7.0
ep687,5.0
ep688,14.0
ep689,5.0
ep690,8.0
ep691,11.0
ep692,5.0
ep693,15.0
ep694,15.0
ep695,14.0
ep696,5.0
ep697,12.0
ep698,9.0
ep699,18.0
ep700,13.0
ep701,14.0
ep702,7.0
ep703,9.0
ep704,11.0
ep705,16.0
ep706,7.0
ep707,11.0
ep708,7.0
ep709,15.0
ep710,9.0
ep711,12.0
ep712,7.0
ep713,7.0
ep714,8.0
ep715,14.0
ep716,7.0
ep717,9.0
ep718,14.0
ep719,10.0
ep720,9.0
ep721,7.0
ep722,5.0
ep723,18.0
ep724,10.0
ep725,13.0
ep726,9.0
ep727,7.0
ep728,14.0
ep729,11.0
ep730,13.0
ep731,13.0
ep732,8.0
ep733,13.0
ep734,6.0
ep735,13.0
ep736,16.0
ep737,7.0
ep738,8.0
ep739,11.0
ep740,10.0
ep741,14.0
ep742,12.0
ep743,7.0
ep744,11.0
ep745,14.0
ep746,19.0
ep747,10.0
ep748,8.0
ep749,5.0
ep750,12.0
ep751,7.0
ep752,11.0
ep753,8.0
ep754,10.0
ep755,8.0
ep756,11.0
ep757,11.0
ep758,16.0
ep759,11.0
ep760,8.0
ep761,10.0
ep762,13.0
ep763,5.0
ep764,9.0
ep765,10.0
ep766,17.0
ep767,5.0
ep768,8.0
ep769,13.0
ep770,17.0
ep771,14.0
ep772,12.0
ep773,11.0
ep774,9.0
ep775,7.0
ep776,11.0
ep777,8.0
ep778,13.0
ep779,7.0
ep780,8.0
ep781,13.0
ep782,7.0
ep783,10.0
ep784,12.0
ep785,11.0
ep786,11.0
ep787,13.0
ep788,7.0
ep789,9.0
ep790,5.0
ep791,5.0
ep792,7.0
ep793,13.0
ep794,8.0
ep795,9.0
ep796,7.0
ep797,5.0
ep798,6.0
ep799,7.0
ep800,6.0
ep801,5.0
ep802,13.0
ep803,13.0
ep804,9.0
ep805,9.0
ep806,8.0
ep807,13.0
ep808,16.0
ep809,13.0
ep810,15.0
ep811,9.0
ep812,13.0
ep813,5.0
ep814,5.0
ep815,11.0
ep816,5.0
ep817,15.0
ep818,11.0
ep819,15.0
ep820,11.0
ep821,8.0
ep822,11.0
ep823,9.0
ep824,11.0
ep825,9.0
ep826,15.0
ep827,9.0
ep828,11.0
ep829,16.0
ep830,9.0
ep831,6.0
ep832,5.0
ep833,8.0
ep834,10.0
ep835,13.0
ep836,8.0
ep837,14.0
ep838,10.0
ep839,16.0
ep840,15.0
ep841,5.0
ep842,14.0
