,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19,agent20,agent21,agent22,agent23,agent24,agent25,agent26,agent27,agent28,agent29,agent30,agent31,agent32,agent33,agent34,agent35,agent36,agent37,agent38,agent39,agent40,agent41,agent42,agent43,agent44,agent45,agent46,agent47,agent48,agent49,agent50
ep1,34.0,25.0,13.0,9.0,31.0,20.0,21.0,14.0,24.0,23.0,34.0,25.0,20.0,19.0,24.0,19.0,15.0,25.0,7.0,21.0,10.0,25.0,15.0,19.0,31.0,26.0,15.0,14.0,26.0,24.0,37.0,16.0,9.0,26.0,7.0,18.0,29.0,22.0,26.0,35.0,13.0,7.0,20.0,27.0,24.0,25.0,21.0,34.0,21.0,38.0
ep2,18.0,26.0,19.0,24.0,9.0,22.0,7.0,26.0,28.0,17.0,24.0,28.0,13.0,13.0,28.0,9.0,15.0,33.0,9.0,21.0,10.0,10.0,7.0,19.0,24.0,27.0,24.0,27.0,24.0,22.0,24.0,20.0,13.0,17.0,27.0,8.0,14.0,17.0,7.0,18.0,31.0,24.0,10.0,15.0,20.0,7.0,29.0,16.0,22.0,16.0
ep3,38.0,26.0,12.0,9.0,21.0,23.0,13.0,20.0,7.0,23.0,21.0,34.0,9.0,20.0,24.0,9.0,18.0,22.0,17.0,18.0,27.0,28.0,12.0,26.0,21.0,20.0,23.0,27.0,9.0,15.0,20.0,24.0,32.0,7.0,14.0,16.0,29.0,24.0,23.0,16.0,19.0,10.0,21.0,8.0,15.0,23.0,11.0,28.0,18.0,22.0
ep4,29.0,19.0,20.0,24.0,15.0,30.0,12.0,20.0,25.0,26.0,22.0,31.0,37.0,19.0,37.0,21.0,10.0,21.0,17.0,18.0,28.0,15.0,34.0,28.0,30.0,27.0,23.0,24.0,11.0,21.0,25.0,35.0,15.0,33.0,37.0,25.0,16.0,9.0,30.0,34.0,29.0,15.0,15.0,13.0,17.0,17.0,19.0,9.0,29.0,14.0
ep5,29.0,17.0,13.0,22.0,30.0,27.0,11.0,34.0,18.0,13.0,18.0,22.0,23.0,29.0,37.0,29.0,22.0,7.0,9.0,11.0,12.0,20.0,29.0,19.0,27.0,28.0,37.0,28.0,30.0,14.0,16.0,22.0,22.0,8.0,18.0,15.0,13.0,13.0,9.0,19.0,28.0,11.0,36.0,33.0,7.0,13.0,26.0,28.0,30.0,29.0
ep6,15.0,23.0,20.0,30.0,20.0,24.0,11.0,17.0,17.0,15.0,38.0,17.0,18.0,19.0,22.0,21.0,7.0,10.0,26.0,20.0,21.0,25.0,30.0,19.0,24.0,34.0,12.0,25.0,20.0,32.0,17.0,19.0,27.0,18.0,23.0,19.0,13.0,7.0,22.0,20.0,19.0,7.0,25.0,14.0,18.0,20.0,24.0,17.0,15.0,11.0
ep7,17.0,32.0,22.0,27.0,26.0,31.0,17.0,22.0,26.0,34.0,16.0,14.0,32.0,23.0,22.0,20.0,23.0,18.0,24.0,16.0,31.0,27.0,10.0,33.0,14.0,23.0,12.0,15.0,21.0,35.0,21.0,34.0,27.0,27.0,11.0,25.0,19.0,21.0,15.0,9.0,16.0,18.0,32.0,15.0,24.0,24.0,11.0,15.0,17.0,23.0
ep8,24.0,27.0,35.0,25.0,24.0,15.0,28.0,20.0,23.0,19.0,22.0,18.0,26.0,26.0,7.0,30.0,29.0,31.0,19.0,26.0,20.0,21.0,17.0,30.0,15.0,30.0,21.0,17.0,24.0,21.0,28.0,7.0,35.0,24.0,17.0,30.0,15.0,21.0,21.0,7.0,28.0,22.0,21.0,9.0,11.0,19.0,28.0,18.0,21.0,11.0
ep9,22.0,31.0,12.0,18.0,28.0,30.0,9.0,26.0,18.0,28.0,12.0,17.0,18.0,16.0,25.0,37.0,13.0,15.0,28.0,12.0,36.0,12.0,22.0,18.0,12.0,28.0,19.0,38.0,35.0,19.0,26.0,11.0,21.0,19.0,21.0,19.0,22.0,24.0,14.0,20.0,28.0,19.0,21.0,36.0,26.0,21.0,16.0,32.0,19.0,21.0
ep10,16.0,19.0,26.0,7.0,24.0,8.0,7.0,12.0,11.0,27.0,9.0,23.0,17.0,32.0,29.0,33.0,21.0,14.0,14.0,15.0,17.0,28.0,22.0,17.0,34.0,19.0,9.0,16.0,23.0,16.0,27.0,18.0,29.0,18.0,21.0,23.0,26.0,25.0,28.0,22.0,29.0,25.0,34.0,25.0,17.0,22.0,16.0,19.0,22.0,28.0
