,agent1
ep1,1.0
ep2,0.0
ep3,0.0
ep4,1.0
ep5,1.0
ep6,0.0
ep7,1.0
ep8,1.0
ep9,1.0
ep10,1.0
ep11,1.0
ep12,1.0
ep13,1.0
ep14,1.0
ep15,0.0
ep16,1.0
ep17,0.0
ep18,1.0
ep19,0.0
ep20,1.0
ep21,1.0
ep22,1.0
ep23,0.0
ep24,0.0
ep25,1.0
ep26,0.0
ep27,0.0
ep28,0.0
ep29,0.0
ep30,0.0
ep31,1.0
ep32,0.0
ep33,1.0
ep34,0.0
ep35,1.0
ep36,1.0
ep37,0.0
ep38,0.0
ep39,1.0
ep40,1.0
ep41,0.0
ep42,1.0
ep43,0.0
ep44,1.0
ep45,1.0
ep46,0.0
ep47,0.0
ep48,0.0
ep49,0.0
ep50,0.0
ep51,1.0
ep52,1.0
ep53,0.0
ep54,0.0
ep55,1.0
ep56,1.0
ep57,1.0
ep58,0.0
ep59,0.0
ep60,1.0
ep61,1.0
ep62,1.0
ep63,0.0
ep64,0.0
ep65,1.0
ep66,0.0
ep67,1.0
ep68,1.0
ep69,1.0
ep70,1.0
ep71,1.0
ep72,0.0
ep73,1.0
ep74,1.0
ep75,0.0
ep76,0.0
ep77,1.0
ep78,1.0
ep79,0.0
ep80,1.0
ep81,0.0
ep82,0.0
ep83,0.0
ep84,0.0
ep85,0.0
ep86,1.0
ep87,1.0
ep88,1.0
ep89,0.0
ep90,1.0
ep91,0.0
ep92,1.0
ep93,1.0
ep94,0.0
ep95,1.0
ep96,0.0
ep97,1.0
ep98,1.0
ep99,0.0
ep100,1.0
ep101,1.0
ep102,0.0
ep103,1.0
ep104,0.0
ep105,0.0
ep106,1.0
ep107,0.0
ep108,0.0
ep109,1.0
ep110,1.0
ep111,0.0
ep112,1.0
ep113,0.0
ep114,1.0
ep115,0.0
ep116,0.0
ep117,1.0
ep118,1.0
ep119,0.0
ep120,0.0
ep121,1.0
ep122,1.0
ep123,1.0
ep124,1.0
ep125,1.0
ep126,0.0
ep127,1.0
ep128,0.0
ep129,1.0
ep130,0.0
ep131,1.0
ep132,0.0
ep133,0.0
ep134,1.0
ep135,0.0
ep136,0.0
ep137,0.0
ep138,1.0
ep139,1.0
ep140,1.0
ep141,0.0
ep142,1.0
ep143,1.0
ep144,0.0
ep145,0.0
ep146,1.0
ep147,1.0
ep148,0.0
ep149,1.0
ep150,1.0
ep151,1.0
ep152,1.0
ep153,1.0
ep154,1.0
ep155,1.0
ep156,0.0
ep157,1.0
ep158,0.0
ep159,0.0
ep160,1.0
ep161,1.0
ep162,0.0
ep163,1.0
ep164,0.0
ep165,0.0
ep166,1.0
ep167,0.0
ep168,0.0
ep169,1.0
ep170,1.0
ep171,1.0
ep172,1.0
ep173,0.0
ep174,1.0
ep175,1.0
ep176,1.0
ep177,1.0
ep178,0.0
ep179,1.0
ep180,1.0
ep181,1.0
ep182,1.0
ep183,0.0
ep184,0.0
ep185,1.0
ep186,1.0
ep187,0.0
ep188,1.0
ep189,1.0
ep190,0.0
ep191,1.0
ep192,1.0
ep193,0.0
ep194,0.0
ep195,1.0
ep196,1.0
ep197,0.0
ep198,0.0
ep199,0.0
ep200,0.0
ep201,1.0
ep202,0.0
ep203,1.0
ep204,1.0
ep205,0.0
ep206,0.0
ep207,0.0
ep208,1.0
ep209,1.0
ep210,0.0
ep211,1.0
ep212,1.0
ep213,1.0
ep214,1.0
ep215,0.0
ep216,0.0
ep217,1.0
ep218,1.0
ep219,0.0
ep220,0.0
ep221,0.0
ep222,0.0
ep223,1.0
ep224,1.0
ep225,1.0
ep226,0.0
ep227,0.0
ep228,1.0
ep229,0.0
ep230,1.0
ep231,0.0
ep232,0.0
ep233,1.0
ep234,0.0
ep235,0.0
ep236,1.0
ep237,1.0
ep238,0.0
ep239,1.0
ep240,1.0
ep241,0.0
ep242,1.0
ep243,1.0
ep244,1.0
ep245,1.0
ep246,1.0
ep247,0.0
ep248,0.0
ep249,1.0
ep250,0.0
ep251,1.0
ep252,0.0
ep253,1.0
ep254,0.0
ep255,1.0
ep256,1.0
ep257,0.0
ep258,0.0
ep259,1.0
ep260,0.0
ep261,0.0
ep262,0.0
ep263,1.0
ep264,1.0
ep265,0.0
ep266,1.0
ep267,0.0
ep268,0.0
ep269,1.0
ep270,0.0
ep271,0.0
ep272,0.0
ep273,0.0
ep274,0.0
ep275,1.0
ep276,1.0
ep277,0.0
ep278,1.0
ep279,1.0
ep280,1.0
ep281,0.0
ep282,0.0
ep283,0.0
ep284,1.0
ep285,1.0
ep286,0.0
ep287,0.0
ep288,1.0
ep289,1.0
ep290,0.0
ep291,1.0
ep292,0.0
ep293,0.0
ep294,0.0
ep295,0.0
ep296,1.0
ep297,0.0
ep298,1.0
ep299,0.0
ep300,1.0
ep301,0.0
ep302,0.0
ep303,1.0
ep304,1.0
ep305,0.0
ep306,0.0
ep307,1.0
ep308,0.0
ep309,1.0
ep310,1.0
ep311,0.0
ep312,0.0
ep313,1.0
ep314,1.0
ep315,1.0
ep316,1.0
ep317,0.0
ep318,1.0
ep319,1.0
ep320,0.0
ep321,1.0
ep322,1.0
ep323,0.0
ep324,0.0
ep325,0.0
ep326,1.0
ep327,0.0
ep328,0.0
ep329,0.0
ep330,1.0
ep331,0.0
ep332,0.0
ep333,1.0
ep334,1.0
ep335,0.0
ep336,0.0
ep337,1.0
ep338,1.0
ep339,1.0
ep340,1.0
ep341,1.0
ep342,1.0
ep343,0.0
ep344,1.0
ep345,0.0
ep346,1.0
ep347,1.0
ep348,1.0
ep349,0.0
ep350,1.0
ep351,1.0
ep352,1.0
ep353,1.0
ep354,0.0
ep355,0.0
ep356,0.0
ep357,0.0
ep358,1.0
ep359,0.0
ep360,1.0
ep361,1.0
ep362,0.0
ep363,1.0
ep364,0.0
ep365,1.0
ep366,1.0
ep367,1.0
ep368,1.0
ep369,0.0
ep370,1.0
ep371,0.0
ep372,1.0
ep373,1.0
ep374,1.0
ep375,0.0
ep376,1.0
ep377,0.0
ep378,0.0
ep379,1.0
ep380,1.0
ep381,0.0
